Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
1929,,9,,,9
Gift of Paul J. Sachs,,9,,,9
1930,,8,,,8
Gift of Abby Aldrich Rockefeller,,1,,,1
Gift of Mrs. Sadie A. May,,1,,,1
Gift of Mrs. Saidie A. May,,1,,,1
Gift of the artist,,2,,,2
Given anonymously,,2,,,2
Inter-American Fund,,1,,,1
1931,,3,,,3
Gift of Abby Aldrich Rockefeller,,1,,,1
Gift of Henry Russel Hitchcock,,1,,,1
Gift of Mrs. Ray Slater Murphy,,1,,,1
1932,1,16,,,17
"Exhibition Fund, 1932",,1,,,1
Gift of J. B. Neumann,,9,,,9
Gift of Mrs. Saidie A. May,1,3,,,4
Gift of Philip Johnson,,1,,,1
Gift of the artist,,2,,,2
1933,,95,,,95
Gift of Abby Aldrich Rockefeller,,1,,,1
Gift of Edward M. M. Warburg,,1,,,1
Gift of Lincoln Kirstein,,91,,,91
Gift of Mrs. Saidie A. May,,2,,,2
1934,4,213,38,,255
Gift of A. Conger Goodyear,,1,,,1
Gift of Abby Aldrich Rockefeller,1,56,,,57
Gift of Abby Aldrich Rockefeller (by exchange),,1,,,1
Gift of Edward M. M. Warburg,1,2,,,3
Gift of Edward M.M. Warburg,,2,,,2
Gift of Eimer & Amend,,,12,,12
Gift of Herbert Bayer,,1,,,1
Gift of James W. Barney,,1,,,1
Gift of Lincoln Kirstein,,63,,,63
Gift of Mr. and Mrs. Erich Cohn,,1,,,1
Gift of Mrs. Meredith Hare,1,1,,,2
Gift of Mrs. Saidie A. May,,5,,,5
Gift of Ovington's,,,1,,1
Gift of Owens-Illinois Glass Co.,,,1,,1
Gift of Paul J. Sachs,,1,,,1
Gift of Philip Johnson,,1,,,1
Gift of Philip L. Goodwin,,1,,,1
Gift of the manufacturer,,9,20,,29
Given anonymously,,5,,,5
Lillie P. Bliss Collection,1,62,4,,67
1935,5,411,2,,418
1935 Acquisition confirmed in 1999 by agreement with the Estate of Kazimir Malevich and made possible with funds from the Mrs. John Hay Whitney Bequest (by exchange),,15,,,15
Abby Aldrich Rockefeller Fund,,10,,,10
Anonymous Gift,,1,,,1
Gift of Abby Aldrich Rockefeller,,267,,,267
Gift of Edward M.M. Warburg,,7,,,7
Gift of James Raphael Cherry,,1,,,1
Gift of Merle Armitage,3,11,2,,16
Gift of Mr. and Mrs. Stanley Resor,,8,,,8
Gift of Mrs. Stanley B. Resor,,1,,,1
Gift of Samuel Chotzinoff,,7,,,7
Gift of Twentieth Century-Fox. Preserved with funding from the Celeste Bartos Film Preservation Fund and The Film Foundation,,1,,,1
"Gift of Walter P. Chrysler, Jr.",,1,,,1
Given anonymously,1,33,,,34
Given anonymously (by exchange),,1,,,1
Mrs. Simon Guggenheim Fund,,1,,,1
Purchase,1,44,,,45
(blank),,2,,,2
1936,12,94,44,,150
Acquired from Metro-Goldwyn-Mayer. Restored with funding from The Lillian Gish Trust for Film Preservation,,1,,,1
Acquired from Paramount Pictures,,1,,,1
"Acquired from the Artist and Rubenstein, Progress Films",,1,,,1
